Timestamp,How much time do you read every day?,How much time do you sleep every day?,Are you in a relationship?,Do you attend your class almost regularly?,Do you study in a group?,What is your study materials?,Are you addicted to drug?,Do you like to think at the time of reading?,How much time do you pass by gathering with your friends?,Do you play online games?,Where do you live?,What's your cgpa?
11/5/2019 8:04,1 or 2 hours a day,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.75
11/5/2019 8:23,1 or 2 hours a day,7 hours,Yes,Yes,No,Both,No,Yes,1 hours,No,Hall,3.13
11/5/2019 8:26,read before exam only,above 8 hours,No,Yes,No,Slide,No,Yes,above 2 hours,Yes,House rent,3.54
11/5/2019 9:09,1 or 2 hours a day,below 6 hours,No,Yes,Yes,Both,No,No,above 2 hours,No,With parents,3.42
11/5/2019 9:45,read before exam only,7 hours,No,No,No,Slide,No,Yes,above 2 hours,Yes,House rent,2.75
11/5/2019 10:25,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,Hall,3.34
11/5/2019 10:33,read before exam only,below 6 hours,Yes,Yes,No,Book,No,Yes,above 2 hours,No,With parents,3.52
11/5/2019 10:34,read before exam only,above 8 hours,No,No,Yes,Slide,Yes,Yes,above 2 hours,No,Hall,3.23
11/5/2019 10:36,read before exam only,below 6 hours,Yes,Yes,No,Both,No,No,no gathering,No,With parents,3.821
11/5/2019 12:14,read before exam only,above 8 hours,Yes,Yes,No,Slide,No,No,above 2 hours,No,Hall,3.62
11/5/2019 13:04,read before exam only,above 8 hours,Yes,Yes,No,Both,No,Yes,above 2 hours,Yes,With parents,3.66
11/5/2019 13:06,read before exam only,above 8 hours,No,Yes,No,Slide,No,No,no gathering,Yes,House rent,2.74
11/5/2019 19:41,1 or 2 hours a day,7 hours,Yes,Yes,Yes,Both,No,Yes,above 2 hours,No,House rent,3.36
11/5/2019 19:45,read before exam only,7 hours,No,No,No,Both,No,Yes,no gathering,No,House rent,3.71
11/5/2019 21:41,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,Yes,above 2 hours,No,With parents,3.42
11/5/2019 23:19,3 hours or greater than 3,below 6 hours,No,Yes,No,Both,No,Yes,1 hours,No,With parents,3.73
11/6/2019 1:09,1 or 2 hours a day,7 hours,No,Yes,No,Both,No,Yes,1 hours,Yes,With parents,3.6
11/6/2019 3:51,read before exam only,below 6 hours,Yes,Yes,No,Slide,No,Yes,above 2 hours,No,House rent,3.7
11/6/2019 8:15,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,No,With parents,3.45
11/6/2019 15:23,3 hours or greater than 3,7 hours,No,Yes,No,Book,No,Yes,above 2 hours,Yes,With parents,3.13
11/6/2019 17:09,read before exam only,below 6 hours,Yes,Yes,No,Slide,No,Yes,no gathering,No,With parents,2.73
11/6/2019 23:59,3 hours or greater than 3,below 6 hours,No,Yes,Yes,Book,No,Yes,above 2 hours,Yes,House rent,3.6
11/7/2019 0:32,read before exam only,7 hours,No,Yes,No,Both,No,No,above 2 hours,No,Hall,3.66
11/7/2019 11:42,3 hours or greater than 3,7 hours,Yes,Yes,No,Book,No,Yes,above 2 hours,No,House rent,3
11/7/2019 11:42,read before exam only,7 hours,No,Yes,Yes,Both,No,Yes,1 hours,Yes,House rent,3.8
11/7/2019 12:32,read before exam only,below 6 hours,No,Yes,No,Slide,No,Yes,above 2 hours,No,House rent,3.33
